amount,category,date,notes
12.0,Food,2026-02-03,Lunch on Grounds
8.0,Transport,2026-02-05,Bus fare
42.0,Groceries,2026-02-09,Kroger groceries
15.0,Food,2026-02-12,Dinner with friends
22.0,Entertainment,2026-02-16,Movie night
10.0,Transport,2026-02-20,Uber to class
35.0,Groceries,2026-02-25,Walmart
18.0,Food,2026-03-02,Chipotle
9.0,Transport,2026-03-04,Uber
28.0,Groceries,2026-03-08,Trader Joe's
14.0,Food,2026-03-12,Coffee and snack
45.0,School,2026-03-17,Notebook and supplies
20.0,Entertainment,2026-03-22,Event ticket
11.0,Transport,2026-03-28,Metro
31.0,Groceries,2026-04-01,Costco
16.0,Food,2026-04-04,Lunch
7.0,Transport,2026-04-06,Bus
24.0,Personal,2026-04-10,Skincare
38.0,Groceries,2026-04-14,Kroger
13.0,Food,2026-04-18,Dinner
19.0,Entertainment,2026-04-21,Bowling
10.0,Transport,2026-04-25,Uber
33.0,Groceries,2026-05-01,Walmart
12.0,Food,2026-05-03,Lunch
8.0,Transport,2026-05-05,Bus
27.0,Groceries,2026-05-08,Trader Joe's
18.0,Food,2026-05-10,Takeout
21.0,Entertainment,2026-05-12,Movie night
36.0,Groceries,2026-05-15,Weekly groceries
22.0,Food,2026-05-05,bookstore
